Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
56770-52175,1B,Matt,Matt Olson,Olson,6.740000152587891,5,2700,OAK@HOU,OAK,HOU,,,,,,C/1B/UTIL
56770-13854,OF,Robbie,Robbie Grossman,Grossman,8.700000127156576,6,2600,DET@CLE,DET,CLE,,,,,,OF/UTIL
56770-21165,C,Roberto,Roberto Perez,Perez,8.550000190734863,4,2600,DET@CLE,CLE,DET,,,,,,C/1B/UTIL
56770-53586,OF,David,David Peralta,Peralta,5.314285823277065,7,2600,CIN@ARI,ARI,CIN,,,,,,OF/UTIL
56770-13304,C,Tucker,Tucker Barnhart,Barnhart,15.074999809265137,4,2600,CIN@ARI,CIN,ARI,,,,,,C/1B/UTIL
56770-5118,1B,Miguel,Miguel Cabrera,Cabrera,9.38000030517578,5,2600,DET@CLE,DET,CLE,,,,,,C/1B/UTIL
56770-71182,3B/1B,Jeimer,Jeimer Candelario,Candelario,8.799999872843424,6,2500,DET@CLE,DET,CLE,,,,,,C/1B/3B/UTIL
56770-11344,C,Jason,Jason Castro,Castro,25.399999618530273,1,2500,OAK@HOU,HOU,OAK,,,,,,C/1B/UTIL
56770-13924,OF,Kole,Kole Calhoun,Calhoun,12.222222222222221,54,2500,CIN@ARI,ARI,CIN,IL,Knee,,,,OF/UTIL
56770-38004,C,Austin,Austin Hedges,Hedges,18.700000762939453,1,2500,DET@CLE,CLE,DET,,,,,,C/1B/UTIL
56770-82555,SS/3B,Willi,Willi Castro,Castro,6.150000254313151,6,2500,DET@CLE,DET,CLE,,,,,,3B/SS/UTIL
56770-82611,OF,Akil,Akil Baddoo,Baddoo,18.975000381469727,4,2500,DET@CLE,DET,CLE,,,,,,OF/UTIL
56770-79156,2B/3B,David,David Fletcher,Fletcher,6.833333333333333,6,2500,LAA@TOR,LAA,TOR,,,,,,2B/3B/UTIL
56770-79175,OF,Trent,Trent Grisham,Grisham,11.54915295617055,59,2500,SD@TEX,SD,TEX,IL,Hamstring,,,,OF/UTIL
56770-79223,OF/1B,Josh,Josh Naylor,Naylor,4.840000152587891,5,2500,DET@CLE,CLE,DET,,,,,,C/1B/OF/UTIL
56770-13239,3B,Eduardo,Eduardo Escobar,Escobar,7.266666412353516,6,2500,CIN@ARI,ARI,CIN,,,,,,3B/UTIL
56770-13262,2B/OF,Jurickson,Jurickson Profar,Profar,7.514285496303013,7,2500,SD@TEX,SD,TEX,,,,,,2B/OF/UTIL
56770-68586,SS,Dansby,Dansby Swanson,Swanson,4.649999936421712,6,2500,PHI@ATL,ATL,PHI,,,,,,SS/UTIL
56770-81924,2B/SS,Niko,Niko Goodrum,Goodrum,8.133333206176758,3,2400,DET@CLE,DET,CLE,,,,,,2B/SS/UTIL
56770-5177,1B,Albert,Albert Pujols,Pujols,7.680000305175781,5,2400,LAA@TOR,LAA,TOR,,,,,,C/1B/UTIL
56770-82530,1B/OF,Pavin,Pavin Smith,Smith,4.116666793823242,6,2400,CIN@ARI,ARI,CIN,,,,,,C/1B/OF/UTIL
56770-13516,C,Stephen,Stephen Vogt,Vogt,9.466666539510092,6,2400,CIN@ARI,ARI,CIN,,,,,,C/1B/UTIL
56770-146160,2B/SS,Ha-Seong,Ha-Seong Kim,Kim,3.116666793823242,6,2400,SD@TEX,SD,TEX,,,,,,2B/SS/UTIL
56770-13099,C,Travis,Travis d'Arnaud,d'Arnaud,6.283333460489909,6,2400,PHI@ATL,ATL,PHI,,,,,,C/1B/UTIL
56770-82251,OF,Tim,Tim Locastro,Locastro,6.2000002179827005,7,2400,CIN@ARI,ARI,CIN,,,,,,OF/UTIL
56770-38252,OF,Stephen,Stephen Piscotty,Piscotty,4.616666793823242,6,2400,OAK@HOU,OAK,HOU,,,,,,OF/UTIL
56770-79212,C,Andrew,Andrew Knapp,Knapp,21.700000762939453,1,2400,PHI@ATL,PHI,ATL,,,,,,C/1B/UTIL
56770-13188,2B/3B,Jean,Jean Segura,Segura,5.616666793823242,6,2400,PHI@ATL,PHI,ATL,,,,,,2B/3B/UTIL
56770-13253,C,Martin,Martin Maldonado,Maldonado,2.4799999237060546,5,2400,OAK@HOU,HOU,OAK,,,,,,C/1B/UTIL
56770-80848,C,Victor,Victor Caratini,Caratini,12.925000190734863,4,2400,SD@TEX,SD,TEX,,,,,,C/1B/UTIL
56770-5104,1B,Pablo,Pablo Sandoval,Sandoval,9.480000305175782,5,2400,PHI@ATL,ATL,PHI,,,,,,C/1B/UTIL
56770-135216,OF,Chas,Chas McCormick,McCormick,9.55999984741211,5,2300,OAK@HOU,HOU,OAK,,,,,,OF/UTIL
56770-16947,2B,Jonathan,Jonathan Schoop,Schoop,4.149999936421712,6,2300,DET@CLE,DET,CLE,,,,,,2B/UTIL
56770-13436,C,Max,Max Stassi,Stassi,6.740000152587891,5,2300,LAA@TOR,LAA,TOR,,,,,,C/1B/UTIL
56770-113309,2B/SS,Josh,Josh Rojas,Rojas,2.171428544180734,7,2300,CIN@ARI,ARI,CIN,,,,,,2B/SS/UTIL
56770-12462,1B,Mitch,Mitch Moreland,Moreland,3.642857142857143,7,2300,OAK@HOU,OAK,HOU,,,,,,C/1B/UTIL
56770-79074,3B,Austin,Austin Riley,Riley,3.566666603088379,6,2300,PHI@ATL,ATL,PHI,,,,,,3B/UTIL
56770-83186,OF,Aristides,Aristides Aquino,Aquino,7.816666920979817,6,2300,CIN@ARI,CIN,ARI,,,,,,OF/UTIL
56770-13685,3B/OF,Brock,Brock Holt,Holt,10.800000190734863,4,2300,SD@TEX,TEX,SD,DTD,Hamstring,,,,3B/OF/UTIL
56770-6029,2B,Jed,Jed Lowrie,Lowrie,6.585714067731585,7,2300,OAK@HOU,OAK,HOU,,,,,,2B/UTIL
56770-79272,OF,Lourdes,Lourdes Gurriel Jr.,Gurriel Jr.,4.3799999237060545,5,2300,LAA@TOR,TOR,LAA,,,,,,OF/UTIL
56770-38326,OF,Nomar,Nomar Mazara,Mazara,6.283333460489909,6,2300,DET@CLE,DET,CLE,,,,,,OF/UTIL
56770-102418,2B,Eli,Eli White,White,5.5,4,2200,SD@TEX,TEX,SD,,,,,,2B/UTIL
